Page Order,Semantic Name,Element Type,Logical Name,Playwright Best,Relative XPath,Absolute XPath,CSS Selector,ID Attribute,Name Attribute,Class Name,Coordinates,Dimension,Confidence Score
117,ecommerce_website_products_img_order_116,Interactive Element,ecommerce website products,await page.locator('html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(25) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][25]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/img[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[25]/div[1]/div[1]/div[1]/img[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(25) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img,,,,"(707.484375, 4705.578125)",247.484375 × 247.484375,50
118,ecommerce_website_products_img_order_117,Interactive Element,ecommerce website products,await page.locator('html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(26) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][26]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/img[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[26]/div[1]/div[1]/div[1]/img[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(26) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img,,,,"(994.96875, 4705.578125)",247.484375 × 329.96875,50
119,rs_1500_premium_polo_t_shirts_add_to_car_rs_1500_h,Interactive Element,"Rs. 1500 - Rs. 1500

Premium Polo T-Shirts

Add to cart",await page.getByText('Rs. 1500').nth(1),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][25]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/h2[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[25]/div[1]/div[1]/div[1]/h2[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(25) > div.product-image-wrapper > div.single-products > div.productinfo text-center > h2,,,,"(707.484375, 4973.0625)",247.484375 × 26.390625,85
120,rs_1500_add_to_cart_order_119,Link,Add to cart - Rs. 1500,"await page.getByRole('link', name='Add to cart').nth(22)","//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][25]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/a[contains(@class, 'btn btn-default add-to-cart')]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[25]/div[1]/div[1]/div[1]/a[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(25) > div.product-image-wrapper > div.single-products > div.productinfo text-center > a.btn btn-default add-to-cart,,,btn btn-default add-to-cart,"(773.484375, 5039.453125)",115.484375 × 33.421875,90
121,rs_1000_green_side_placket_detail_t_shir_rs_1000_h,Interactive Element,"Rs. 1000 - Rs. 1000

Green Side Placket Detail T-Shirt

Add to cart",await page.getByText('Rs. 1000').nth(2),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][24]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/h2[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[24]/div[1]/div[1]/div[1]/h2[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(24) > div.product-image-wrapper > div.single-products > div.productinfo text-center > h2,,,,"(420, 5055.546875)",247.484375 × 26.390625,85
122,rs_850_pure_cotton_neon_green_tshirt_add_rs_850_h2,Interactive Element,"Rs. 850 - Rs. 850

Pure Cotton Neon Green Tshirt

Add to cart",await page.getByText('Rs. 850'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][26]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/h2[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[26]/div[1]/div[1]/div[1]/h2[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(26) > div.product-image-wrapper > div.single-products > div.productinfo text-center > h2,,,,"(994.96875, 5055.546875)",247.484375 × 26.390625,85
123,view_product_a_order_122,Link,View Product,"await page.getByRole('link', name='View Product').nth(22)","//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][25]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'choose')][2]/ul[contains(@class, 'nav nav-pills nav-justified')]/li/a",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[25]/div[1]/div[2]/ul[1]/li[1]/a[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(25) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav nav-pills nav-justified > li > a,,,,"(707.484375, 5098.875)",247.484375 × 38.5625,90
124,rs_1000_add_to_cart_order_123,Link,Add to cart - Rs. 1000,"await page.getByRole('link', name='Add to cart').nth(23)","//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][24]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/a[contains(@class, 'btn btn-default add-to-cart')]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[24]/div[1]/div[1]/div[1]/a[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(24) > div.product-image-wrapper > div.single-products > div.productinfo text-center > a.btn btn-default add-to-cart,,,btn btn-default add-to-cart,"(486, 5121.9375)",115.484375 × 33.421875,90
125,rs_850_add_to_cart,Link,Add to cart - Rs. 850,"await page.getByRole('link', name='Add to cart').nth(24)","//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][26]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/a[contains(@class, 'btn btn-default add-to-cart')]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[26]/div[1]/div[1]/div[1]/a[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(26) > div.product-image-wrapper > div.single-products > div.productinfo text-center > a.btn btn-default add-to-cart,,,btn btn-default add-to-cart,"(1060.96875, 5121.9375)",115.484375 × 33.421875,90
126,view_product_a_order_125,Link,View Product,"await page.getByRole('link', name='View Product').nth(23)","//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][24]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'choose')][2]/ul[contains(@class, 'nav nav-pills nav-justified')]/li/a",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[24]/div[1]/div[2]/ul[1]/li[1]/a[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(24) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav nav-pills nav-justified > li > a,,,,"(420, 5181.359375)",247.484375 × 38.5625,90
127,view_product_a_order_126,Link,View Product,"await page.getByRole('link', name='View Product').nth(24)","//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][26]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'choose')][2]/ul[contains(@class, 'nav nav-pills nav-justified')]/li/a",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[26]/div[1]/div[2]/ul[1]/li[1]/a[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(26) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav nav-pills nav-justified > li > a,,,,"(994.96875, 5181.359375)",247.484375 × 38.5625,90
128,ecommerce_website_products_img_order_127,Interactive Element,ecommerce website products,await page.locator('html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(27) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][27]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/img[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[27]/div[1]/div[1]/div[1]/img[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(27) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img,,,,"(420, 5259.921875)",247.484375 × 309.03125,50
129,ecommerce_website_products_img_order_128,Interactive Element,ecommerce website products,await page.locator('html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(28) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][28]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/img[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[28]/div[1]/div[1]/div[1]/img[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(28) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img,,,,"(707.484375, 5259.921875)",247.484375 × 247.484375,50
130,ecommerce_website_products_img_order_129,Interactive Element,ecommerce website products,await page.locator('html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(29) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][29]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/img[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[29]/div[1]/div[1]/div[1]/img[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(29) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img,,,,"(994.96875, 5259.921875)",247.484375 × 329.96875,50
131,rs_1200_regular_fit_straight_jeans_add_t_rs_1200_h,Interactive Element,"Rs. 1200 - Rs. 1200

Regular Fit Straight Jeans

Add to cart",await page.getByText('Rs. 1200').nth(1),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][28]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/h2[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[28]/div[1]/div[1]/div[1]/h2[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(28) > div.product-image-wrapper > div.single-products > div.productinfo text-center > h2,,,,"(707.484375, 5527.40625)",247.484375 × 26.390625,85
132,rs_799_soft_stretch_jeans_add_to_cart_rs_799_h2,Interactive Element,"Rs. 799 - Rs. 799

Soft Stretch Jeans

Add to cart",await page.getByText('Rs. 799'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][27]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/h2[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[27]/div[1]/div[1]/div[1]/h2[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(27) > div.product-image-wrapper > div.single-products > div.productinfo text-center > h2,,,,"(420, 5588.953125)",247.484375 × 26.390625,85
133,rs_1200_add_to_cart_order_132,Link,Add to cart - Rs. 1200,"await page.getByRole('link', name='Add to cart').nth(25)","//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][28]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/a[contains(@class, 'btn btn-default add-to-cart')]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[28]/div[1]/div[1]/div[1]/a[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(28) > div.product-image-wrapper > div.single-products > div.productinfo text-center > a.btn btn-default add-to-cart,,,btn btn-default add-to-cart,"(773.484375, 5593.796875)",115.484375 × 33.421875,90
134,rs_1400_grunt_blue_slim_fit_jeans_add_to_rs_1400_h,Interactive Element,"Rs. 1400 - Rs. 1400

Grunt Blue Slim Fit Jeans

Add to cart",await page.getByText('Rs. 1400').nth(0),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][29]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/h2[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[29]/div[1]/div[1]/div[1]/h2[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(29) > div.product-image-wrapper > div.single-products > div.productinfo text-center > h2,,,,"(994.96875, 5609.890625)",247.484375 × 26.390625,85
135,rs_799_add_to_cart,Link,Add to cart - Rs. 799,"await page.getByRole('link', name='Add to cart').nth(26)","//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][27]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/a[contains(@class, 'btn btn-default add-to-cart')]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[27]/div[1]/div[1]/div[1]/a[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(27) > div.product-image-wrapper > div.single-products > div.productinfo text-center > a.btn btn-default add-to-cart,,,btn btn-default add-to-cart,"(486, 5655.34375)",115.484375 × 33.421875,90
136,view_product_a_order_135,Link,View Product,"await page.getByRole('link', name='View Product').nth(25)","//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][28]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'choose')][2]/ul[contains(@class, 'nav nav-pills nav-justified')]/li/a",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[28]/div[1]/div[2]/ul[1]/li[1]/a[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(28) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav nav-pills nav-justified > li > a,,,,"(707.484375, 5653.21875)",247.484375 × 38.5625,90
137,rs_1400_add_to_cart,Link,Add to cart - Rs. 1400,"await page.getByRole('link', name='Add to cart').nth(27)","//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][29]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/a[contains(@class, 'btn btn-default add-to-cart')]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[29]/div[1]/div[1]/div[1]/a[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(29) > div.product-image-wrapper > div.single-products > div.productinfo text-center > a.btn btn-default add-to-cart,,,btn btn-default add-to-cart,"(1060.96875, 5676.28125)",115.484375 × 33.421875,90
138,view_product_a_order_137,Link,View Product,"await page.getByRole('link', name='View Product').nth(26)","//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][27]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'choose')][2]/ul[contains(@class, 'nav nav-pills nav-justified')]/li/a",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[27]/div[1]/div[2]/ul[1]/li[1]/a[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(27) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav nav-pills nav-justified > li > a,,,,"(420, 5714.765625)",247.484375 × 38.5625,90
139,view_product_a_order_138,Link,View Product,"await page.getByRole('link', name='View Product').nth(27)","//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][29]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'choose')][2]/ul[contains(@class, 'nav nav-pills nav-justified')]/li/a",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[29]/div[1]/div[2]/ul[1]/li[1]/a[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(29) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav nav-pills nav-justified > li > a,,,,"(994.96875, 5735.703125)",247.484375 × 38.5625,90
140,ecommerce_website_products_img_order_139,Interactive Element,ecommerce website products,await page.locator('html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(30) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][30]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/img[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[30]/div[1]/div[1]/div[1]/img[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(30) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img,,,,"(420, 5814.265625)",247.484375 × 353.3125,50
141,ecommerce_website_products_img_order_140,Interactive Element,ecommerce website products,await page.locator('html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(31) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][31]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/img[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[31]/div[1]/div[1]/div[1]/img[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(31) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img,,,,"(707.484375, 5814.265625)",247.484375 × 314.359375,50
142,ecommerce_website_products_img_order_141,Interactive Element,ecommerce website products,await page.locator('html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(32) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][32]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/img[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[32]/div[1]/div[1]/div[1]/img[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(32) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img,,,,"(994.96875, 5814.265625)",247.484375 × 339.25,50
143,rs_3000_cotton_silk_hand_block_print_sar_rs_3000_h,Interactive Element,"Rs. 3000 - Rs. 3000

Cotton Silk Hand Block Print Saree

Add to cart",await page.getByText('Rs. 3000'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][31]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/h2[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[31]/div[1]/div[1]/div[1]/h2[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(31) > div.product-image-wrapper > div.single-products > div.productinfo text-center > h2,,,,"(707.484375, 6148.625)",247.484375 × 26.390625,85
144,rs_3500_rust_red_linen_saree_add_to_cart_rs_3500_h,Interactive Element,"Rs. 3500 - Rs. 3500

Rust Red Linen Saree

Add to cart",await page.getByText('Rs. 3500'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][32]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/h2[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[32]/div[1]/div[1]/div[1]/h2[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(32) > div.product-image-wrapper > div.single-products > div.productinfo text-center > h2,,,,"(994.96875, 6173.515625)",247.484375 × 26.390625,85
145,rs_2300_rose_pink_embroidered_maxi_dress_rs_2300_h,Interactive Element,"Rs. 2300 - Rs. 2300

Rose Pink Embroidered Maxi Dress

Add to cart",await page.getByText('Rs. 2300'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')]/div[contains(@class, 'col-sm-4')][30]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')][1]/div[contains(@class, 'productinfo text-center')][1]/h2[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[30]/div[1]/div[1]/div[1]/h2[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(30) > div.product-image-wrapper > div.single-products > div.productinfo text-center > h2,,,,"(420, 6187.578125)",247.484375 × 26.390625,85
